eV_,TotalSpec_NEXAFS,E_55,ZnPc_55
288.54427214,9.6286298e+08,312.90002,1.2805635
288.56428214,9.7520371e+08,312.99973,1.2738894
288.58429215,9.8801702e+08,313.10181,1.2742519
288.60430215,1.001273e+09,313.19778,1.2698855
288.62431216,1.0149413e+09,313.30063,1.2680789
288.64432216,1.028991e+09,313.40076,1.2605577
288.66433217,1.0433912e+09,313.49371,1.262296
288.68434217,1.0581106e+09,313.59964,1.2587298
288.70435218,1.0731184e+09,313.70038,1.2558453
288.72436218,1.0883843e+09,313.80182,1.250793
288.74437219,1.1038783e+09,313.90125,1.2505838
288.76438219,1.1195713e+09,313.99957,1.248162
288.7843922,1.1354354e+09,314.10016,1.2442653
288.8044022,1.1514432e+09,314.19943,1.2393264
288.82441221,1.167569e+09,314.30142,1.239815
288.84442221,1.1837878e+09,314.39868,1.2366171
288.86443222,1.2000763e+09,314.50067,1.2335941
288.88444222,1.2164123e+09,314.60046,1.2282541
288.90445223,1.2327754e+09,314.70007,1.2287835
288.92446223,1.2491461e+09,314.80054,1.2247732
288.94447224,1.2655068e+09,314.90073,1.2221797
288.96448224,1.2818414e+09,314.99957,1.2181928
288.98449225,1.298135e+09,315.10019,1.2163264
289.00450225,1.3143745e+09,315.20013,1.2129593
289.02451226,1.3305481e+09,315.30127,1.2090101
289.04452226,1.3466451e+09,315.40073,1.2062328
289.06453227,1.3626569e+09,315.49939,1.2048017
289.08454227,1.3785755e+09,315.60056,1.2008624
289.10455228,1.3943946e+09,315.69952,1.1964376
289.12456228,1.4101092e+09,315.80014,1.193329
289.14457229,1.4257149e+09,315.90067,1.191354
289.16458229,1.4412093e+09,316.00015,1.186893
289.1845923,1.4565903e+09,316.09982,1.1815553
289.2046023,1.471857e+09,316.19736,1.1803344
289.22461231,1.4870094e+09,316.30045,1.1772923
289.24462231,1.5020483e+09,316.39999,1.1739413
289.26463232,1.516975e+09,316.5011,1.167672
289.28464232,1.5317921e+09,316.60083,1.1675992
289.30465233,1.546502e+09,316.69571,1.163264
289.32466233,1.5611081e+09,316.80032,1.15978
289.34467234,1.575614e+09,316.89969,1.1527791
289.36468234,1.5900239e+09,317.00012,1.1527805
289.38469235,1.6043418e+09,317.09912,1.1489629
289.40470235,1.6185723e+09,317.19992,1.1448553
289.42471236,1.6327203e+09,317.2998,1.1387298
289.44472236,1.6467899e+09,317.39606,1.13922
289.46473237,1.6607864e+09,317.50079,1.1357642
289.48474237,1.6747145e+09,317.60181,1.1326022
289.50475238,1.688578e+09,317.70059,1.1249683
289.52476238,1.7023822e+09,317.80011,1.1270713
289.54477239,1.7161308e+09,317.90359,1.1225277
289.56478239,1.7298278e+09,317.99652,1.120175
289.5847924,1.743477e+09,318.07037,1.1141887
289.6048024,1.7570817e+09,318.19998,1.1141177
289.62481241,1.7706449e+09,318.3009,1.1107062
289.64482241,1.7841691e+09,318.39996,1.1064966
289.66483242,1.7976567e+09,318.49997,1.1039594
289.68484242,1.8111096e+09,318.59991,1.1020737
289.70485243,1.8245292e+09,318.6998,1.0990461
289.72486243,1.8379165e+09,318.7977,1.0945973
289.74487244,1.8512722e+09,318.90033,1.0926322
289.76488244,1.8645965e+09,319.00003,1.0912933
289.78489245,1.877889e+09,319.10165,1.0873448
289.80490245,1.8911492e+09,319.20142,1.083854
289.82491246,1.9043762e+09,319.30026,1.0831492
289.84492246,1.9175686e+09,319.40039,1.0809917
289.86493247,1.9307247e+09,319.5004,1.0787182
289.88494247,1.9438424e+09,319.60089,1.0732142
289.90495248,1.9569197e+09,319.69791,1.0747763
289.92496248,1.9699535e+09,319.79999,1.0716619
